,500-600,600-800,800-1000,1000-1200,1200-1500,1500-2000
nominal,0.99,0.97,0.96,0.94,0.91,0.87
parton shower,0.21,0.22,0.23,0.24,0.25,0.31
pdf weight,0.06,0.06,0.07,0.08,0.08,0.07
splitting kernel,0.04,0.01,0.01,0.01,0.01,0.01
scale variation,0.04,0.04,0.03,0.04,0.03,0.04
tracking,0.02,0.02,0.02,0.02,0.01,0.01
hadronization,0.01,0.01,0.01,0.01,0.01,0.01
MC nonclosure,0.01,0.02,0.03,0.05,0.08,0.12
matrix element,0.01,0.01,0.02,0.03,0.06,0.09
JES/JER,0.01,0.01,0.01,0.01,0.01,0.01
gluon reweight,0.01,0.01,0.01,0.01,0.01,0.01
Statistical,0.01,0.01,0.01,0.01,0.01,0.03
Total Uncertainty,0.23,0.24,0.24,0.26,0.28,0.35
