,500-600,600-800,800-1000,1000-1200,1200-1500,1500-2000
nominal,0.99,0.98,0.97,0.95,0.93,0.91
parton shower,0.11,0.12,0.13,0.13,0.14,0.17
pdf weight,0.05,0.05,0.05,0.06,0.06,0.06
splitting kernel,0.05,0.03,0.03,0.03,0.01,0.04
MC nonclosure,0.02,0.03,0.04,0.06,0.08,0.1
scale variation,0.02,0.02,0.02,0.02,0.02,0.05
hadronization,0.01,0.01,0.01,0.01,0.02,0.01
tracking,0.01,0.01,0.01,0.01,0.01,0.01
matrix element,0.01,0.01,0.02,0.03,0.04,0.08
gluon reweight,0.01,0.01,0.01,0.01,0.01,0.01
JES/JER,0.01,0.01,0.01,0.01,0.01,0.01
Statistical,0.01,0.01,0.01,0.01,0.01,0.02
Total Uncertainty,0.13,0.14,0.15,0.16,0.18,0.23
