,500-600,600-800,800-1000,1000-1200,1200-1500,1500-2000
nominal,0.98,0.97,0.95,0.93,0.89,0.85
parton shower,0.32,0.31,0.33,0.37,0.37,0.45
scale variation,0.07,0.07,0.05,0.07,0.07,0.05
splitting kernel,0.07,0.02,0.02,0.03,0.01,0.02
pdf weight,0.06,0.07,0.07,0.09,0.09,0.08
tracking,0.01,0.01,0.01,0.01,0.01,0.01
MC nonclosure,0.01,0.03,0.04,0.06,0.1,0.15
matrix element,0.01,0.01,0.02,0.04,0.07,0.11
hadronization,0.01,0.01,0.01,0.01,0.01,0.01
JES/JER,0.01,0.01,0.01,0.01,0.01,0.01
gluon reweight,0.01,0.01,0.01,0.01,0.01,0.01
Statistical,0.01,0.01,0.01,0.01,0.01,0.03
Total Uncertainty,0.34,0.33,0.34,0.39,0.41,0.49
