,500-600,600-800,800-1000,1000-1200,1200-1500,1500-2000
nominal,0.99,0.98,0.98,0.96,0.94,0.92
parton shower,0.1,0.11,0.12,0.13,0.11,0.14
pdf weight,0.04,0.05,0.05,0.06,0.06,0.05
splitting kernel,0.02,0.01,0.01,0.01,0.01,0.01
tracking,0.01,0.02,0.02,0.02,0.02,0.01
hadronization,0.01,0.01,0.01,0.01,0.01,0.01
scale variation,0.01,0.01,0.01,0.01,0.01,0.01
MC nonclosure,0.01,0.01,0.02,0.04,0.06,0.07
matrix element,0.01,0.01,0.02,0.03,0.04,0.07
JES/JER,0.01,0.01,0.01,0.01,0.01,0.01
Statistical,0.01,0.01,0.01,0.01,0.01,0.02
gluon reweight,0.01,0.01,0.01,0.01,0.01,0.01
Total Uncertainty,0.11,0.12,0.13,0.15,0.15,0.18
