,500-600,600-800,800-1000,1000-1200,1200-1500,1500-2000
nominal,0.98,0.97,0.95,0.93,0.89,0.86
parton shower,0.15,0.15,0.17,0.17,0.17,0.21
splitting kernel,0.07,0.05,0.05,0.04,0.03,0.05
pdf weight,0.05,0.06,0.06,0.07,0.07,0.06
MC nonclosure,0.05,0.05,0.07,0.09,0.12,0.15
scale variation,0.03,0.04,0.03,0.04,0.04,0.07
hadronization,0.02,0.01,0.01,0.01,0.01,0.01
tracking,0.01,0.01,0.01,0.01,0.01,0.01
matrix element,0.01,0.01,0.02,0.03,0.05,0.08
JES/JER,0.01,0.01,0.01,0.01,0.01,0.01
gluon reweight,0.01,0.01,0.01,0.01,0.01,0.01
Statistical,0.01,0.01,0.01,0.01,0.01,0.02
Total Uncertainty,0.18,0.18,0.2,0.21,0.23,0.29
