,500-600,600-800,800-1000,1000-1200,1200-1500,1500-2000
nominal,1.02,1.04,1.04,1.03,1.02,1.01
scale variation,0.09,0.1,0.12,0.11,0.13,0.12
pdf weight,0.09,0.11,0.12,0.13,0.13,0.11
hadronization,0.09,0.07,0.06,0.05,0.04,0.04
tracking,0.08,0.07,0.06,0.05,0.05,0.04
matrix element,0.05,0.06,0.06,0.05,0.05,0.04
parton shower,0.02,0.03,0.05,0.06,0.07,0.08
MC nonclosure,0.02,0.04,0.04,0.03,0.02,0.01
splitting kernel,0.01,0.01,0.01,0.01,0.01,0.01
JES/JER,0.01,0.01,0.01,0.01,0.01,0.01
gluon reweight,0.01,0.01,0.01,0.01,0.01,0.01
Statistical,0.01,0.01,0.01,0.01,0.01,0.02
Total Uncertainty,0.19,0.19,0.21,0.21,0.22,0.19
